hostname,ContextSwitchesPerSecond,AbstractionLayer,iface,iface_speed,IPTAB_activated,IPTAB_complexity,IPTAB_maxRules,IPTAB_RX_bytes,IPTAB_RX_packets,IPTAB_TX_bytes,IPTAB_TX_packets,OVS_activated,OVS_complexity,OVS_maxRules,OVS_RX_bytes,OVS_RX_dropped,OVS_RX_packets,OVS_TX_bytes,OVS_TX_dropped,OVS_TX_packets,TC_activated,TC_queueDiscipline,TC_queueLenght,TC_complexity,TC_current_bwd_guaranteed,TC_maxRules,TC_RX_bytes,TC_RX_dropped,TC_RX_packets,TC_TX_bytes,TC_TX_dropped,TC_TX_packets,encapsulationLayer,encapsulationType1,encapsulationType2,sense,l3Proto,dstIP,macSrc,macDst,l4Proto,tos,outTos,dstPort,state,totalpktCount,totalBits,packetSize,programmableTechnology,activatedRuleTimeSecs,averageMatchedBytes,averageMatchedPackets,currentMatchedBytesPerPeriod,currentMatchedPacketsPerPeriod,lastMatchedTime,ruleComplexity,totalMatchedBytes,totalMatchedPackets,actionType,actionName,IPTAB_MIN_CRR_currentMatchedPacketsPerPeriod,IPTAB_MAX_CRR_currentMatchedPacketsPerPeriod,IPTAB_MIN_TOTAL_totalMatchedPackets,IPTAB_MAX_TOTAL_totalMatchedPackets,IPTAB_numberRulesActivatedTotal,IPTAB_MEAN_CRR,IPTAB_MEDIAN_CRR,IPTAB_ST_CRR,IPTAB_Q1_CRR,IPTAB_Q3_CRR,IPTAB_MEAN_TOTAL,IPTAB_MEDIAN_TOTAL,IPTAB_ST_TOTAL,IPTAB_Q1_TOTAL,IPTAB_Q3_TOTAL,OVS_MIN_CRR_currentMatchedPacketsPerPeriod,OVS_MAX_CRR_currentMatchedPacketsPerPeriod,OVS_MIN_TOTAL_totalMatchedPackets,OVS_MAX_TOTAL_totalMatchedPackets,OVS_numberRulesActivatedTotal,OVS_MEAN_CRR,OVS_MEDIAN_CRR,OVS_ST_CRR,OVS_Q1_CRR,OVS_Q3_CRR,OVS_MEAN_TOTAL,OVS_MEDIAN_TOTAL,OVS_ST_TOTAL,OVS_Q1_TOTAL,OVS_Q3_TOTAL,TC_MIN_CRR_currentMatchedPacketsPerPeriod,TC_MAX_CRR_currentMatchedPacketsPerPeriod,TC_MIN_TOTAL_totalMatchedPackets,TC_MAX_TOTAL_totalMatchedPackets,TC_numberRulesActivatedTotal,TC_MEAN_CRR,TC_MEDIAN_CRR,TC_ST_CRR,TC_Q1_CRR,TC_Q3_CRR,TC_MEAN_TOTAL,TC_MEDIAN_TOTAL,TC_ST_TOTAL,TC_Q1_TOTAL,TC_Q3_TOTAL,timestamp
EDGE-IAAS-0-COMPUTE-1,1,0,eth6,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,18527426,0,32860,198052,0,421,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001001101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,8008,32790112,512.0,OVS,104.0,35467.519230769234,62.66346153846154,28300,50,0.0,5,3688622,6517,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,50,6449,6571,4,50.0,50.0,0.0,50.0,50.0,6519.0,6528.0,44.74371464239419,6483.0,6555.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689857794.0
EDGE-IAAS-0-COMPUTE-1,4,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,5356540,0,60830,79216,0,719,True,noqueue,1000,8,0,4096,2677677.0,30098.0,36170.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,6104,1660016,34.0,TC,79.0,8519.367088607594,115.126582278481,9472,128,0.0,3,673030,9095,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,143,6019,9095,4,125.75,123.5,11.299889379989525,116.0,135.5,7573.5,7590.0,1505.941150908627,6068.0,9079.0,1689796854.0
EDGE-IAAS-0-COMPUTE-2,4,0,eth0,10000000000,True,8.0,4096.0,2077635.0,9443.0,36888735.0,64193.0,True,4,16384,842908,0,2686,18701860,0,60432,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100001001101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,6119,12531712,256.0,IPTABLES,27.0,18671.185185185182,53.96296296296296,16954,49,0.0,13,504122,1457,INSERT,DROP,49,55,1383,1457,2,52.0,52.0,3.0,52.0,52.0,1420.0,1420.0,37.0,1420.0,1420.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694792693.653191
EDGE-IAAS-0-COMPUTE-2,3,0,eth6,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,4930003,0,8779,96580,0,199,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100000101101101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,4213,17260544,512.0,OVS,11.0,65398.72727272727,115.54545454545456,56600,100,0.0,5,719386,1271,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,1271,1305,2,100.0,100.0,0.0,100.0,100.0,1288.0,1288.0,17.0,1288.0,1288.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689852908.0
EDGE-IAAS-0-COMPUTE-1,9,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,4292397,0,23640,71768,0,396,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,5524,5657592,128.0,OVS,69.0,11386.869565217392,62.56521739130435,8918,49,0.0,5,785694,4317,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,50,4244,4317,4,49.5,49.5,0.5,49.0,50.0,4292.25,4304.0,28.358199872347328,4274.0,4310.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689856560.0
EDGE-IAAS-0-COMPUTE-1,3,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,3989376,0,7110,84900,0,178,True,noqueue,1000,8,0,4096,2285334.0,4139.0,4146.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100000100001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,7036,28806136,512.0,TC,77.0,29664.62337662337,53.74025974025974,24840,45,0.0,3,2284176,4138,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,45,4138,4138,1,45.0,45.0,0.0,45.0,45.0,4138.0,4138.0,0.0,4138.0,4138.0,1689786060.0
EDGE-IAAS-0-COMPUTE-2,1,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,15375150,0,27271,194182,0,397,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,6545,26808320,512.0,OVS,83.0,35126.096385542165,62.06024096385542,28300,50,0.0,5,2915466,5151,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,99,5061,5151,4,68.5,62.5,20.35313243704762,50.0,87.0,5126.5,5147.0,37.911080174534725,5102.5,5150.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689857775.0
EDGE-IAAS-0-COMPUTE-1,5,0,eth0,10000000000,True,8.0,4096.0,1621277.0,9702.0,30637169.0,40887.0,True,4,16384,427384,0,1356,11060080,0,35726,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000110001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,3164,6479872,256.0,IPTABLES,108.0,18443.722222222223,53.30555555555556,18684,54,0.0,13,1991922,5757,INSERT,DROP,54,62,5757,5768,2,58.0,58.0,4.0,58.0,58.0,5762.5,5762.5,5.5,5762.5,5762.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694793958.4823432
EDGE-IAAS-0-COMPUTE-1,3,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,26314404,0,24536,334240,0,604,True,noqueue,1000,8,0,4096,13690370.0,9914.0,12881.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,6050,49527840,1023.0,TC,30.0,60860.8,57.2,58520,55,0.0,3,1825824,1716,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,63,1716,3223,4,58.25,57.5,3.418698582794336,55.0,61.5,2480.25,2491.0,739.4654741771247,1741.0,3219.5,1689796224.0
EDGE-IAAS-0-COMPUTE-1,8,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,37560136,0,34983,207614,0,423,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,8526,69844992,1024.0,OVS,118.0,65118.50847457627,60.40677966101695,52822,49,0.0,5,7683984,7128,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,74,7080,7128,4,67.25,73.0,10.54454835448157,61.0,73.5,7101.75,7099.5,20.327014045353536,7082.0,7121.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689868908.0
