hostname,ContextSwitchesPerSecond,AbstractionLayer,iface,IPTAB_activated,IPTAB_estimatedDevicePortSpeed,IPTAB_complexity,IPTAB_maxRules,IPTAB_RX_bytes,IPTAB_RX_packets,IPTAB_TX_bytes,IPTAB_TX_packets,OVS_activated,OVS_estimatedDevicePortSpeed,OVS_complexity,OVS_maxRules,OVS_RX_bytes,OVS_RX_dropped,OVS_RX_packets,OVS_TX_bytes,OVS_TX_dropped,OVS_TX_packets,TC_activated,TC_queueDiscipline,TC_queueLenght,TC_currentCombinedQueues,TC_currentRxQueues,TC_currentTxQueues,TC_estimatedDevicePortSpeed,TC_complexity,TC_current_bwd_guaranteed,TC_maxRules,TC_RX_bytes,TC_RX_dropped,TC_RX_packets,TC_TX_bytes,TC_TX_dropped,TC_TX_packets,encapsulationLayer,encapsulationType1,encapsulationType2,sense,l3Proto,dstIP,macSrc,macDst,l4Proto,tos,outTos,dstPort,state,totalpktCount,totalBits,packetSize,sumInterPacketLagNS,lastInterPacketRate,programmableTechnology,activatedRuleTimeSecs,averageMatchedBytes,averageMatchedPackets,currentMatchedBytesPerPeriod,currentMatchedPacketsPerPeriod,lastMatchedTime,ruleComplexity,totalMatchedBytes,totalMatchedPackets,actionType,actionName,IPTAB_numberRulesActivatedTotal,OVS_numberRulesActivatedTotal,TC_numberRulesActivatedTotal,target
EDGE-IAAS-0-COMPUTE-2,3,0,eth0,True,10000000000,400,4096,1917239.0,8564.0,89801645.0,70313.0,True,10000000000,20,16384,803966,0,1365,71104830,0,66013.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000101101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,9333,76455936,1024.0,0,0,IPTABLES,67.0,120045.97014925371,107.76119402985074,130338,117,0.0,13,8043080,7220,INSERT,DROP,1.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-1,8,0,eth6,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,56795183,0,52818,280202,0,523.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001001101101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,2751,22536192,1024.0,0,0,OVS,59.0,156803.3220338983,145.45762711864407,159544,148,0.0,5,9251396,8582,INSERT,DROP,0.0,4,0,OVS
EDGE-IAAS-0-COMPUTE-2,2,0,eth0,True,10000000000,400,4096,3394033.0,12825.0,181285999.0,149345.0,True,10000000000,20,16384,1719610,0,2943,156582130,0,145377.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,9671,79224832,1024.0,0,0,IPTABLES,108.0,87541.83333333333,78.58333333333333,0,0,5.0,13,9454518,8487,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-2,2,0,eth6,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,5826379,0,32072,122562,0,654.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,4365092.0,21603.0,25994.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001001101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,8027,8219648,128.0,0,0,TC,84.0,9992.0,59.47619047619048,8568,51,0.0,3,839328,4996,INSERT,DROP,0.0,0,4,OVS
EDGE-IAAS-0-COMPUTE-1,1,0,eth0,True,10000000000,400,4096,1299263.0,7132.0,48622437.0,34701.0,True,10000000000,20,16384,249600,0,440,32206800,0,29902.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000011101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,9251,75784192,1024.0,0,0,IPTABLES,56.0,118919.5,106.75,120312,108,0.0,13,6659492,5978,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-1,1,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,762298,0,8639,14408,0,127.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,312781.0,4216.0,4223.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100000010101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,8526,2324872,34.0,0,0,TC,80.0,3871.125,52.3125,3774,51,0.0,3,309690,4185,INSERT,DROP,0.0,0,1,OVS
EDGE-IAAS-0-COMPUTE-1,9,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,78128247,0,72617,277546,0,530.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,12119,93033248,960.0,0,0,OVS,115.0,125094.8695652174,116.04347826086956,0,0,23.0,5,14385910,13345,INSERT,DROP,0.0,4,0,OVS
EDGE-IAAS-0-COMPUTE-1,2,0,eth6,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,6446284,0,6044,87578,0,167.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,3194678.0,3002.0,3007.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100000011101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,6068,49709056,1024.0,0,0,TC,57.0,56112.0,52.73684210526316,58520,55,0.0,3,3198384,3006,INSERT,DROP,0.0,0,1,OVS
EDGE-IAAS-0-COMPUTE-2,5,0,eth6,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,11701519,0,64355,150802,0,784.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,6654392.0,33993.0,39619.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001001101101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,7640,7822336,128.0,0,0,TC,58.0,20354.068965517243,121.15517241379312,20496,122,0.0,3,1180536,7027,INSERT,DROP,0.0,0,4,OVS
EDGE-IAAS-0-COMPUTE-1,8,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,69614363,0,64710,276870,0,522.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,3907,32006144,1024.0,0,0,OVS,76.0,162324.1052631579,150.57894736842104,107800,100,0.0,5,12336632,11444,INSERT,DROP,0.0,4,0,OVS
